"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Pakistan","PAK",166821169,0.430450460600361,2,35,1,2,1,1,1,1,0,,,2,,,,,,,,,,,,,,,2,2,2,1,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,1,2,2,,,,2,,,,1,1,2,1,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,2,2,2,1,3,1,,0,0,2,4,4,4,1,5,1,2,1,0
"Pakistan","PAK",162853652,1.06574515795118,2,38,2,2,1,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,1,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,2,1,2,,,,2,,,,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,2,,,,,,2,1,2,1,2,1,,0,0,2,4,4,4,2,5,1,1,0,0
"Pakistan","PAK",202690462,3.78443057226974,1,55,1,4,2,1,1,0,1,,,2,,,,,,,,,,,,,,,2,1,2,2,2,1,2,2,1,2,2,2,2,,,2,2,2,,,,2,2,2,2,2,2,2,,3,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,2,4,1,,0,0,4,4,4,4,2,5,2,2,1,0
"Pakistan","PAK",144889173,1.89129066524071,2,21,2,3,1,2,1,1,0,2,2,1,1,2,2,2,2,,,,1,1,1,1,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,2,2,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,1,3,3,2,2,,0,0,4,4,4,4,2,5,1,1,1,0
"Pakistan","PAK",189690718,0.251685658595747,2,47,2,1,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,1,1,2,2,1,2,2,,,,,2,,,1,2,2,,,,2,2,,2,1,2,2,,2,1,2,2,,,,2,,,,1,2,2,,,1,2,,,,,,,1,2,2,2,2,2,2,,,,,,2,2,2,1,3,1,,1,1,4,3,4,4,2,5,1,1,0,0
"Pakistan","PAK",186493986,1.02126851742123,1,17,2,5,2,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,1,1,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,4,5,4,4,,2,,0,0,4,4,4,4,4,5,2,2,0,0
"Pakistan","PAK",121243577,1.21962194199562,1,40,1,2,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,1,1,1,1,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,7,,,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,3,1,1,4,1,,0,1,4,4,4,4,2,5,1,2,0,0
"Pakistan","PAK",134327432,1.36305154778655,1,34,1,5,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,1,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,3,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,2,1,1,2,1,,0,1,4,4,4,4,4,5,2,2,0,0
"Pakistan","PAK",155155738,1.32375572881964,1,22,1,4,2,1,0,0,0,,,2,,,,,,,,,,,,,,2,1,3,1,3,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,1,1,3,2,2,,0,0,4,4,4,4,4,5,2,1,0,0
"Pakistan","PAK",139503481,0.844447364505444,1,26,1,1,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,3,1,1,1,1,2,2,2,,,,,2,,,2,1,2,,,,2,2,,2,2,2,2,,3,1,1,1,1,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,3,3,1,1,4,1,,0,0,4,4,4,4,2,1,1,1,0,0
