"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Pakistan","PAK",156375914,0.425183747318889,2,20,2,4,2,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,1,1,2,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,4,1,1,2,,,,2,,,,1,2,2,,,2,2,,,,,,,2,2,,,,,2,,,,,,1,2,1,2,3,2,,0,0,4,4,4,4,3,5,1,1,0,0
"Pakistan","PAK",164574453,0.255954364055057,1,37,3,5,2,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,1,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,1,3,1,,0,0,4,4,4,4,4,5,1,1,0,0
"Pakistan","PAK",143056505,0.251685658595747,2,38,2,4,2,2,1,1,0,,,2,,,,,,,,,,,,,,,2,1,1,2,2,2,2,2,,,,,2,,,1,1,2,,,,2,1,1,1,1,1,1,2,3,1,1,1,1,,,1,1,,,1,1,1,1,,,2,,,,,,,2,2,,,,,1,1,1,2,,,2,2,2,2,2,1,,1,1,4,4,4,1,1,1,1,1,1,0
"Pakistan","PAK",208425756,0.267326070022849,1,30,2,2,2,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,3,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,0,0,4,4,4,4,4,5,1,2,0,0
"Pakistan","PAK",121933855,0.430450460600361,2,40,1,4,1,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,1,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,1,1,2,,,,2,,,,1,2,2,,,1,1,2,2,2,2,2,,2,2,,,,,2,,,,,,2,1,1,2,3,1,,0,0,3,4,4,4,2,5,1,2,0,0
"Pakistan","PAK",153545634,0.8164291945293,1,37,1,4,1,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,1,2,2,2,3,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,1,1,3,,,,2,,,,1,2,3,,,1,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,2,3,4,2,1,,0,0,2,4,4,4,2,6,1,2,0,0
"Pakistan","PAK",130599755,0.414237144668014,2,43,1,3,2,1,1,1,0,2,2,2,,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,1,1,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,3,2,,0,1,4,4,4,4,4,5,1,2,0,0
"Pakistan","PAK",174409214,0.509358095757727,2,47,1,3,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,1,3,2,3,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,1,2,3,1,1,,0,0,2,4,4,4,2,5,1,2,0,0
"Pakistan","PAK",146306453,0.251685658595747,1,34,2,5,2,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,3,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,1,4,1,,0,1,4,4,4,4,4,5,2,1,0,0
"Pakistan","PAK",205187476,0.706477913835595,2,38,1,1,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,1,2,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,2,3,1,,0,0,4,4,4,4,2,5,1,2,0,0
"Pakistan","PAK",156360112,1.24220150034436,1,24,2,5,2,1,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,1,4,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,3,2,2,3,2,2,,0,0,4,4,4,4,2,5,1,1,0,0
"Pakistan","PAK",182885772,0.660384371066426,1,24,1,2,2,2,0,0,0,,,2,,,,,,,,,,,,,,1,1,2,2,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,1,2,2,1,2,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,1,2,2,3,1,,1,1,4,4,4,4,4,5,2,2,0,0
"Pakistan","PAK",118457572,1.6554902775975,2,33,1,3,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,3,2,3,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,1,1,2,,,,2,,,,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,1,1,2,2,1,,2,1,1,2,3,2,,0,0,2,4,4,2,2,5,1,2,0,0
"Pakistan","PAK",137027538,0.892415459071111,2,27,1,1,1,1,1,0,1,,,2,,,,,,,,,,,,,,,1,1,2,1,2,1,2,2,2,2,2,1,2,,,2,2,2,,,,2,2,2,2,2,2,2,,2,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,1,1,2,2,1,,2,1,1,2,2,1,,0,0,4,4,4,2,2,5,1,1,1,0
"Pakistan","PAK",163959577,1.77594227961152,2,22,3,4,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,2,2,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,3,2,2,,0,1,4,4,4,4,2,5,1,1,0,0
"Pakistan","PAK",157209285,1.10731442816886,1,25,1,3,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,3,1,2,,0,0,4,4,4,4,4,5,2,2,0,0
"Pakistan","PAK",129058393,0.516095864749579,2,50,2,5,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,8,,,2,,,,2,,,,1,2,2,,,2,2,,,,,,,2,2,,,,,2,,,,,,2,1,3,2,2,2,,0,0,4,4,4,4,3,5,1,1,0,0
"Pakistan","PAK",177498509,0.274900776765133,2,20,2,1,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,2,2,,,,2,,,,1,2,1,2,,,2,,,,,,,2,2,,,,,2,,,,,,3,2,2,2,3,2,,0,0,4,4,4,4,1,5,1,1,0,0
"Pakistan","PAK",178259662,0.828134333562907,1,22,3,5,2,2,1,1,0,2,2,1,2,,2,2,2,,,,2,,1,1,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,8,,,2,,,,1,2,2,2,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,4,6,1,,0,0,4,4,4,4,2,4,1,1,0,0
"Pakistan","PAK",202763087,0.804732182370739,1,15,1,5,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,3,2,1,2,3,2,1,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,4,3,4,3,,2,,0,0,4,4,4,4,4,5,2,2,0,0
"Pakistan","PAK",145400378,0.335973614453703,1,25,2,2,2,1,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,2,3,1,,0,0,4,4,4,4,4,5,1,2,0,0
"Pakistan","PAK",128537242,0.251685658595747,1,35,1,5,2,2,0,0,0,,,2,,,,,,,,,,,,,,1,1,1,2,3,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,2,1,2,,0,0,4,4,4,4,4,5,1,2,0,0
"Pakistan","PAK",206448275,0.67943741309391,1,19,3,5,2,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,2,,2,,0,0,4,4,4,4,4,5,1,2,0,0
"Pakistan","PAK",198149635,0.355248385983728,2,44,3,5,1,2,1,1,0,2,2,1,1,2,2,2,2,,,,1,1,1,2,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,1,1,2,,,,2,,,,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,2,2,2,2,2,,0,0,2,4,4,4,2,5,1,1,1,0
"Pakistan","PAK",177329747,0.251685658595747,2,31,3,4,1,2,1,0,1,,,2,,,,,,,,,,,,,,,2,1,2,2,2,1,2,2,1,1,2,1,1,1,,2,1,2,,,,2,2,2,2,2,2,1,,2,2,2,1,2,2,1,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,1,2,2,2,2,,0,1,4,4,4,4,2,2,1,1,1,1
"Pakistan","PAK",153634224,0.467739973807225,1,30,2,3,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,1,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,4,2,1,,0,1,4,4,4,4,4,5,1,1,0,0
"Pakistan","PAK",171172580,0.714112683741075,2,32,2,3,1,2,1,1,0,1,2,1,2,,2,2,2,,,,1,2,1,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,1,1,2,,,,2,,,,1,2,2,,,1,1,2,1,2,,,2,2,2,,,,,2,,,,,,2,1,1,2,3,1,,1,1,1,4,4,4,2,5,1,1,1,0
"Pakistan","PAK",170399620,1.26147685740831,1,30,1,3,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,1,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,1,2,2,2,2,2,1,1,2,,,,2,,,,1,2,2,,,2,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,1,3,2,,1,0,4,4,4,4,3,5,1,2,0,0
"Pakistan","PAK",207319398,1.38963965518673,2,56,2,5,1,2,1,1,0,1,1,2,,,2,2,2,,,,2,,1,2,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,3,3,2,,,,2,,,,1,2,2,,,1,1,1,1,2,,,2,2,1,1,2,,,2,,,,,,3,3,3,3,,3,,1,0,1,4,1,4,2,5,1,2,1,0
"Pakistan","PAK",167864132,2.64751145763928,1,19,1,2,2,1,0,0,0,,,2,,,,,,,,,,,,,,2,3,3,2,3,3,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,3,3,2,,0,0,4,4,4,4,4,5,2,2,0,0
